,Entry,Ref,Linkage formed,"Acceptor
size",(eq .),"Donor
size",(eq .).1,"Yield
(%)",a : B,"Glycosyl
Donor","Neighbouring
group",Activator,Solvent,temperature_C,donor_type,acceptor_type,solvent_smiles,donor_conf,lg,C2_smiles,activator,Major True,Minor True,Conf positive(%) True
0,108,72,Gal (1-3) rHA,2,1,1,1.5,74,1:1,SEt,OBn,MeOTf,Et2O,,pyranose,O,['CCOCC'],"[0, -1, 1, 1, 1]",[*]SCC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,COS(=O)(=O)C(F)(F)F  ,,1,50.0
1,207,143,Glc (1-2) Xyl,1,1,1,3,76,1:1,chloride,OCOCCI3,"AgOTf,MDTBP",DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*Cl,O=C(OCC(Cl)(Cl)Cl)O[*],C(F)(F)(F)S(=O)(=O)[O-].[Ag+].Cc1cc(nc(c1)C(C)(C)C)C(C)(C)C,,1,50.0
2,294,151,Glc (1 → 6) Gal,1,1.2,1,1,52,1:1,sulfonamide,OBn,BF3-OEt2,,,pyranose,O,,"[0, -1, 1, -1, 1]",[O-]S(=O)(O[*])=O.C[NH+](C)C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCO(CC).[B-](F)(F)F,,1,50.0
3,295,151,Glc (1 → 6) Gal,1,1.2,1,1,67,1:1,sulfonamide,OBn,TMSOTf,,,pyranose,O,,"[0, -1, 1, -1, 1]",[O-]S(=O)(O[*])=O.C[NH+](C)C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,,1,50.0
4,304,172,Glc (16) Gal,1,1,1,1,82,1:1,tetrazol,OBn,TMSOTf,Et2O,-78,pyranose,O,['CCOCC'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,,1,50.0
5,305,172,Glc (1-6) Gal,1,1,1,1,82,1:1,tetrazol,OBn,AgOTf,DCM,0,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C(F)(F)(F)S(=O)(=O)[O-].[Ag+],,1,50.0
6,394,22,Glc [ 5S ] (1 → 4) Glc,1,2,1,1,90,1:1,imidate,OAc,TESOTf,,-78,pyranose,O,,"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*OC([CH3])=O,CC[Si](CC)(CC)OS(=O)(=O)C(F)(F)F,,1,50.0
7,600,172,Man (16) Gal,1,1,1,1,63,1:1,tetrazol,OBn,PdCl2,DCM,-20,pyranose,O,['CC(Cl)Cl'],"[0, 1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,Cl[Pd]Cl,,1,50.0
8,309,172,Glc (16) Gal,1,1,1,1,86,1:1.7,tetrazol,OBn,TMSOTf,DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,62.962962962963000
9,511,19,GlcNAc (16) GlcNAc,1,(NR),1,(NR),NR,1:2,imidate,N3,AgOTf,DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*N=[N+]=[N-],C(F)(F)(F)S(=O)(=O)[O-].[Ag+],1,1,66.66666666666670
10,547,76,KDO (26) GlcNAc,2,1,1,5.7,86,1.2:1,bromide,H,"Hg(CN)2,HgBr2",,,pyranose,O,,"[0, 0, 1, 1, 1]",*Br,*[H],C(#N)[Hg]C#N .Br[Hg]Br,-1,1,45.45454545454550
11,597,172,Man (1-6) Gal,1,1,1,1,92,1.2:1,tetrazol,OBn,TMSOTf,DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, 1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,45.45454545454550
12,91,146,Gal (1-3) Glc,1,1,1,1.3,82,1:2.3,chloride,OPiv,"AgOTf,collidine",DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, 1, 1]",*Cl,[*]OC(C(C)(C)C)=O,C(F)(F)(F)S(=O)(=O)[O-].[Ag+].CC1=CC(=NC(=C1)C)C,1,1,69.69696969696970
